Same Season,,,,,,,,,,,,,,
ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS
mlp_5_5_th_0.3,"8,9164284","6,898866","50,056208","0,1380963",24,summer ,,Mlp_3_2_th_0.1,"25,952132","19,208778","77,93966","0,20828614",24,autumn 
mlp_5_5_th_0.1,"9,391991","7,2911012","51,764722","0,0431128",24,summer ,,Mlp_3_2_th_0.7,"25,987902","18,949878","73,040942","0,20597392",24,autumn 
,,,,,,,,,,,,,,
SVRs,SVRs,SVRs,SVRs,SVRs,SVRs,SVRs,,SVRs,SVRs,SVRs,SVRs,SVRs,SVRs,SVRs
,,,,,,,,,,,,,,
MODEL                         ,     RMSE,      MAE,      MAPE,         R2, FUTURE_LAG,SEASON ,,MODEL                          ,     RMSE,      MAE,      MAPE,         R2, FUTURE_LAG,SEASON 
svr_gam0.000977_eps0.25_c4    ,"55,77505","38,5942","74,87463","0,3326796",24,winter ,,svr_gam0.000977_eps0.25_c0.25  ,"16,0718","11,32602","60,0773","0,1908319",24,spring 
svr_gam0.000977_eps0.0625_c4  ,"55,77505","38,5942","74,87463","0,3326796",24,winter ,,svr_gam0.000977_eps0.25_c1     ,"16,39657","11,43221","59,82251","0,1577985",24,spring 
svr_gam0.00391_eps0.0625_c4   ,"56,4698","41,06279","86,9231","0,3159514",24,winter ,,svr_gam0.00391_eps0.25_c0.25   ,"16,49014","11,4662","60,5767","0,1481589",24,spring 
svr_gam0.00391_eps0.25_c0.25  ,"56,9055","38,17804","68,12989","0,3053551",24,winter ,,svr_gam0.0156_eps0.25_c0.25    ,"16,773","11,90183","66,67448","0,1186849",24,spring 
svr_gam0.000977_eps0.25_c0.25 ,"57,58945","37,9557","67,26167","0,2885566",24,winter ,,svr_gam0.0156_eps0.0625_c0.25  ,"16,773","11,90183","66,67448","0,1186849",24,spring 
svr_gam0.000977_eps1_c0.25    ,"57,58945","37,9557","67,26167","0,2885566",24,winter ,,svr_gam0.000977_eps1_c4        ,"16,96869","11,82519","61,65004","0,0979998",24,spring 
svr_gam0.0156_eps1_c0.25      ,"57,73706","39,31418","73,87819","0,2849049",24,winter ,,svr_gam0.000977_eps0.25_c4     ,"16,96869","11,82519","61,65004","0,0979998",24,spring 
svr_gam0.0156_eps0.25_c0.25   ,"57,73706","39,31418","73,87819","0,2849049",24,winter ,,svr_gam0.0625_eps0.25_c4       ,"17,40423","13,44915","86,15065","0,0511024",24,spring 
svr_gam0.0156_eps0.0625_c0.25 ,"57,73706","39,31418","73,87819","0,2849049",24,winter ,,svr_gam0.0625_eps0.0625_c4     ,"17,40423","13,44915","86,15065","0,0511024",24,spring 
svr_gam0.0156_eps0.25_c1      ,"57,89398","40,5979","78,58867","0,2810125",24,winter ,,svr_gam0.0625_eps1_c64         ,"17,4597","13,2425","82,36424","0,0450439",24,spring 
svr_gam0.000977_eps0.0625_c64 ,"58,32753","43,26479","97,36696","0,2702038",24,winter ,,svr_gam0.0625_eps0.25_c64      ,"17,4597","13,2425","82,36424","0,0450439",24,spring 
svr_gam0.0625_eps0.0625_c1020 ,"59,21434","43,29521","107,98355","0,2478436",24,winter ,,svr_gam0.0625_eps0.0625_c64    ,"17,4597","13,2425","82,36424","0,0450439",24,spring 
svr_gam0.0625_eps0.25_c256    ,"59,22077","43,05199","106,24013","0,24768",24,winter ,,svr_gam0.0625_eps1_c256        ,"17,50238","13,2129","80,93024","0,0403699",24,spring 
svr_gam0.0625_eps0.0625_c64   ,"59,48323","43,06074","106,44978","0,2409968",24,winter ,,svr_gam0.0625_eps0.0625_c1     ,"17,51081","13,24355","83,24633","0,0394452",24,spring 
svr_gam0.0625_eps1_c16        ,"59,72187","42,57143","102,09894","0,2348947",24,winter ,,svr_gam0.0625_eps0.0625_c1020  ,"17,53153","13,27783","81,27533","0,0371704",24,spring 
svr_gam0.0156_eps0.25_c4      ,"60,00967","43,14789","87,64301","0,2275027",24,winter ,,svr_gam1_eps0.0625_c0.25       ,"17,87069","12,85527","77,04396","-0,0004428",24,spring 
svr_gam0.0156_eps1_c4         ,"60,00967","43,14789","87,64301","0,2275027",24,winter ,,svr_gam1_eps1_c0.25            ,"17,87069","12,85527","77,04396","-0,0004428",24,spring 
